,name,type,date,ocean
0,BELAL,Ciclón tropical intenso,enero de 2024,Índico
1,ANGGREK,Ciclón tropical intenso,enero de 2024,Índico
2,KIRRILY,Ciclón tropical - Categoría 2,enero de 2024,Pacífico Sur
3,CANDICE,Tormenta tropical severa,enero de 2024,Índico
4,NINE,Tormenta tropical moderada,enero de 2024,Índico
5,NAT,Ciclón tropical - Categoría 1,febrero de 2024,Pacífico Sur
6,OSAI,Ciclón tropical - Categoría 2,febrero de 2024,Pacífico Sur
7,TWELVE,Ciclón tropical - Categoría 1,febrero de 2024,Pacífico Sur
8,LINCOLN,Ciclón tropical - Categoría 1,febrero de 2024,Pacífico Sur
9,FIFTEEN,Ciclón tropical - Categoría 1,febrero de 2024,Pacífico Sur
10,DJOUNGOU,Ciclón tropical muy intenso,febrero de 2024,Índico
11,ELEANOR,Tormenta tropical severa,febrero de 2024,Índico
12,FILIPO,Tormenta tropical severa,marzo de 2024,Índico
13,NEVILLE,Ciclón tropical intenso,marzo de 2024,Índico
14,MEGAN,Ciclón tropical - Categoría 4,marzo de 2024,Pacífico Sur
15,GAMANE,Ciclón tropical intenso,marzo de 2024,Índico
16,OLGA,Ciclón tropical muy intenso,abril de 2024,Índico
17,PAUL,Ciclón tropical - Categoría 2,abril de 2024,Pacífico Sur
18,HIDAYA,Ciclón tropical,mayo de 2024,Índico
19,IALY,Tormenta tropical severa,mayo de 2024,Índico
20,TWENTYFIVE,Tormenta tropical moderada,mayo de 2024,Índico
21,EWINIAR,Tifón muy fuerte,mayo de 2024,Pacífico Occidental
22,REMAL,Tormenta ciclónica severa,mayo de 2024,Índico
23,MALIKSI,Depresión tropical,mayo de 2024,Pacífico Occidental
24,Alberto,Tormenta tropical,junio de 2024,Atlántico
25,Beryl,Huracán - Categoría 5,junio de 2024,Atlántico
26,Chris,Tormenta tropical,junio de 2024,Atlántico
27,Aletta,Tormenta tropical,julio de 2024,Pacífico Oriental
28,THREE,Depresión tropical,julio de 2024,Pacífico Occidental
29,PRAPIROON,Tormenta tropical severa,julio de 2024,Pacífico Occidental
30,GAEMI,Tifón violento,julio de 2024,Pacífico Occidental
31,Bud,Tormenta tropical,julio de 2024,Pacífico Oriental
32,Carlotta,Huracán - Categoría 1,julio de 2024,Pacífico Oriental
33,Debby,Huracán - Categoría 1,agosto de 2024,Atlántico
34,Daniel,Tormenta tropical,agosto de 2024,Pacífico Oriental
35,Emilia,Tormenta tropical,agosto de 2024,Pacífico Oriental
36,Fabio,Tormenta tropical,agosto de 2024,Pacífico Oriental
37,MARIA,Tifón,agosto de 2024,Pacífico Occidental
38,Ernesto,Huracán - Categoría 2,agosto de 2024,Atlántico
39,SON-TINH,Tormenta tropical,agosto de 2024,Pacífico Occidental
40,AMPIL,Tifón violento,agosto de 2024,Pacífico Occidental
41,WUKONG,Depresión tropical,agosto de 2024,Pacífico Occidental
42,Gilma,Huracán - Categoría 4,agosto de 2024,Pacífico Oriental
43,JONGDARI,Tormenta tropical,agosto de 2024,Pacífico Occidental
44,SHANSHAN,Tifón violento,agosto de 2024,Pacífico Occidental
45,Hone,Huracán - Categoría 1,agosto de 2024,Pacífico Occidental
46,Hector,Tormenta tropical,agosto de 2024,Pacífico Oriental
47,ASNA,Tormenta ciclónica,agosto de 2024,Índico
48,YAGI,Tifón violento,septiembre de 2024,Pacífico Occidental
49,LEEPI,Tormenta tropical,septiembre de 2024,Pacífico Occidental
50,Francine,Huracán - Categoría 2,septiembre de 2024,Atlántico
51,BEBINCA,Tifón,septiembre de 2024,Pacífico Occidental
52,Gordon,Tormenta tropical,septiembre de 2024,Atlántico
53,Ileana,Tormenta tropical,septiembre de 2024,Pacífico Oriental
54,Lluvia tropical,Ciclón tropical potencial,septiembre de 2024,Atlántico
55,PULASAN,Tifón,septiembre de 2024,Pacífico Occidental
56,SOULIK,Depresión tropical,septiembre de 2024,Pacífico Occidental
57,SEVENTEEN,Tormenta tropical,septiembre de 2024,Pacífico Occidental
58,John,Huracán - Categoría 3,septiembre de 2024,Pacífico Oriental
59,Helene,Huracán - Categoría 4,septiembre de 2024,Atlántico
60,CIMARON,Tormenta tropical,septiembre de 2024,Pacífico Occidental
61,Isaac,Huracán - Categoría 2,septiembre de 2024,Atlántico
62,JEBI,Tifón,septiembre de 2024,Pacífico Occidental
63,KRATHON,Tifón violento,septiembre de 2024,Pacífico Occidental
64,Joyce,Tormenta tropical,septiembre de 2024,Atlántico
65,Kirk,Huracán - Categoría 4,septiembre de 2024,Atlántico
66,ANCHA,Tormenta tropical severa,octubre de 2024,Índico
67,TD 11E,Tormenta tropical,octubre de 2024,Pacífico Oriental
68,Leslie,Huracán - Categoría 2,octubre de 2024,Atlántico
69,Milton,Huracán - Categoría 5,octubre de 2024,Atlántico
70,BARIJAT,Tormenta tropical,octubre de 2024,Pacífico Occidental
